"p","U:0","U:1","U:2","Co","k","nut","omega","total(p)","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9766,0.65599,0.011535,-1.7569e-22,0.50076,0.00027667,2.0324e-05,13.618,2.6302,0,0,0,0,1,0.198,0.6,-0.002,0
1.9569,0.65145,0.01178,-2.5679e-22,0.49754,0.00028067,2.0803e-05,13.495,2.603,0,0,0,0,1,0.2,0.6,0,0
1.9373,0.64692,0.012097,-2.2287e-22,0.49438,0.00028447,2.1301e-05,13.36,2.5759,0,0,0,0,1,0.202,0.6,0.002,0
1.9176,0.64241,0.012435,-1.9982e-22,0.49125,0.00028819,2.1808e-05,13.22,2.5488,0,0,0,0,1,0.204,0.6,0.004,0
1.8979,0.63795,0.012819,-1.9892e-22,0.48819,0.00029174,2.233e-05,13.07,2.5218,0,0,0,0,1,0.206,0.6,0.006,0
1.8783,0.63359,0.01324,-1.7001e-22,0.48524,0.00029515,2.2875e-05,12.909,2.4949,0,0,0,0,1,0.208,0.6,0.008,0
1.8586,0.62929,0.013681,-1.2678e-22,0.48235,0.0002985,2.3431e-05,12.743,2.468,0,0,0,0,1,0.21,0.6,0.01,0
1.8389,0.62524,0.014167,-4.9169e-23,0.47967,0.00030183,2.4041e-05,12.562,2.4414,0,0,0,0,1,0.212,0.6,0.012,0
1.8193,0.62129,0.014666,-1.939e-23,0.47709,0.00030529,2.4678e-05,12.378,2.4149,0,0,0,0,1,0.214,0.6,0.014,0
1.7996,0.61758,0.015187,-9.0588e-23,0.47471,0.00030897,2.5371e-05,12.185,2.3885,0,0,0,0,1,0.216,0.6,0.016,0
1.7799,0.61415,0.015722,-1.1668e-22,0.47254,0.00031321,2.6142e-05,11.99,2.3624,0,0,0,0,1,0.218,0.6,0.018,0
1.7603,0.61087,0.016263,-1.1882e-22,0.47049,0.00031775,2.6954e-05,11.794,2.3364,0,0,0,0,1,0.22,0.6,0.02,0
1.7406,0.60806,0.016813,1.9563e-23,0.46879,0.00032369,2.7926e-05,11.601,2.3108,0,0,0,0,1,0.222,0.6,0.022,0
1.721,0.60544,0.017361,1.3586e-22,0.46723,0.0003303,2.8964e-05,11.413,2.2853,0,0,0,0,1,0.224,0.6,0.024,0
1.7013,0.60319,0.017908,1.9929e-22,0.46594,0.00033831,3.0141e-05,11.233,2.2601,0,0,0,0,1,0.226,0.6,0.026,0
1.6817,0.60131,0.018449,1.7751e-22,0.46493,0.000348,3.1469e-05,11.069,2.2352,0,0,0,0,1,0.228,0.6,0.028,0
1.662,0.59963,0.018986,1.0902e-22,0.46407,0.00035861,3.2881e-05,10.912,2.2104,0,0,0,0,1,0.23,0.6,0.03,0
1.6424,0.59852,0.019509,4.5573e-23,0.46364,0.0003722,3.4538e-05,10.786,2.1861,0,0,0,0,1,0.232,0.6,0.032,0
1.6228,0.59762,0.020026,6.3863e-24,0.46336,0.00038693,3.6277e-05,10.672,2.1619,0,0,0,0,1,0.234,0.6,0.034,0
1.6032,0.59713,0.020531,2.1246e-23,0.46338,0.00040402,3.8189e-05,10.585,2.138,0,0,0,0,1,0.236,0.6,0.036,0
1.5835,0.59705,0.021023,4.756e-23,0.46369,0.00042352,4.0244e-05,10.527,2.1144,0,0,0,0,1,0.238,0.6,0.038,0
1.5639,0.59719,0.021508,8.0252e-23,0.46416,0.00044435,4.238e-05,10.486,2.091,0,0,0,0,1,0.24,0.6,0.04,0
1.5443,0.59798,0.021967,3.8568e-23,0.46509,0.00046907,4.4692e-05,10.495,2.068,0,0,0,0,1,0.242,0.6,0.042,0
1.5247,0.59902,0.022416,1.7071e-23,0.4662,0.00049524,4.7046e-05,10.524,2.0453,0,0,0,0,1,0.244,0.6,0.044,0
1.5051,0.60056,0.022841,4.3459e-23,0.46766,0.00052437,4.9486e-05,10.592,2.0229,0,0,0,0,1,0.246,0.6,0.046,0
1.4856,0.60262,0.023236,3.3289e-23,0.4695,0.00055658,5.1971e-05,10.701,2.0009,0,0,0,0,1,0.248,0.6,0.048,0
1.466,0.60497,0.023615,3.2021e-24,0.47154,0.00059047,5.4481e-05,10.833,1.9791,0,0,0,0,1,0.25,0.6,0.05,0
1.4464,0.60822,0.023934,2.0715e-24,0.4742,0.00062963,5.7014e-05,11.031,1.958,0,0,0,0,1,0.252,0.6,0.052,0
1.4269,0.61181,0.024226,3.6858e-23,0.4771,0.00067083,5.9544e-05,11.254,1.9372,0,0,0,0,1,0.254,0.6,0.054,0
1.4073,0.6161,0.024464,1.4886e-22,0.4805,0.00071628,6.2068e-05,11.527,1.9169,0,0,0,0,1,0.256,0.6,0.056,0
1.3878,0.62113,0.02464,1.6895e-22,0.48441,0.00076649,6.4579e-05,11.85,1.8972,0,0,0,0,1,0.258,0.6,0.058,0
1.3683,0.62656,0.024783,1.3914e-22,0.48859,0.00081927,6.7083e-05,12.202,1.8778,0,0,0,0,1,0.26,0.6,0.06,0
1.3487,0.63322,0.024818,6.0057e-23,0.49361,0.00088085,6.9582e-05,12.637,1.8595,0,0,0,0,1,0.262,0.6,0.062,0
1.3292,0.64034,0.024815,-3.8175e-24,0.49894,0.00094606,7.2094e-05,13.103,1.8415,0,0,0,0,1,0.264,0.6,0.064,0
1.3097,0.64839,0.024731,-3.2582e-23,0.50493,0.0010188,7.4631e-05,13.629,1.8243,0,0,0,0,1,0.266,0.6,0.066,0
1.2902,0.65737,0.024569,-2.6715e-23,0.51156,0.0010999,7.7233e-05,14.214,1.8079,0,0,0,0,1,0.268,0.6,0.068,0
1.2706,0.66686,0.024364,-2.1102e-24,0.51853,0.0011856,7.987e-05,14.829,1.792,0,0,0,0,1,0.27,0.6,0.07,0
1.2511,0.67778,0.024039,-1.6774e-24,0.52648,0.0012849,8.2653e-05,15.514,1.7774,0,0,0,0,1,0.272,0.6,0.072,0
1.2316,0.68916,0.023672,-1.3443e-24,0.53474,0.0013882,8.548e-05,16.213,1.7633,0,0,0,0,1,0.274,0.6,0.074,0
1.2121,0.7015,0.023221,-3.4357e-25,0.54365,0.0014995,8.8399e-05,16.934,1.7502,0,0,0,0,1,0.276,0.6,0.076,0
1.1925,0.71464,0.022687,0,0.55309,0.001614,9.1323e-05,17.642,1.7379,0,0,0,0,1,0.278,0.6,0.078,0
1.173,0.72821,0.022109,0,0.56281,0.0017302,9.4251e-05,18.342,1.7262,0,0,0,0,1,0.28,0.6,0.08,0
1.1535,0.74273,0.021404,-1.5785e-24,0.57316,0.0018399,9.6944e-05,18.956,1.7156,0,0,0,0,1,0.282,0.6,0.082,0
1.1339,0.75746,0.020656,-2.6343e-24,0.58365,0.0019427,9.9454e-05,19.52,1.7053,0,0,0,0,1,0.284,0.6,0.084,0
1.1143,0.77261,0.019821,-2.5964e-24,0.59439,0.002031,0.00010158,19.983,1.6958,0,0,0,0,1,0.286,0.6,0.086,0
1.0948,0.78793,0.018911,-1.5581e-24,0.60521,0.0020962,0.00010314,20.318,1.6866,0,0,0,0,1,0.288,0.6,0.088,0
1.0752,0.80333,0.017959,-2.2315e-26,0.61605,0.0021492,0.0001044,20.585,1.6777,0,0,0,0,1,0.29,0.6,0.09,0
1.0556,0.81861,0.016915,-1.3114e-24,0.62674,0.0021586,0.00010463,20.631,1.6691,0,0,0,0,1,0.292,0.6,0.092,0
1.036,0.83373,0.015847,-2.0878e-24,0.63728,0.0021528,0.00010451,20.598,1.6606,0,0,0,0,1,0.294,0.6,0.094,0
1.0164,0.84853,0.014734,-1.7589e-24,0.64755,0.0021162,0.0001037,20.405,1.6519,0,0,0,0,1,0.296,0.6,0.096,0
0.99676,0.8628,0.013597,-1.7349e-24,0.6574,0.0020551,0.00010239,20.062,1.643,0,0,0,0,1,0.298,0.6,0.098,0
0.97714,0.87679,0.012446,-1.8644e-24,0.66703,0.0019809,0.00010083,19.64,1.634,0,0,0,0,1,0.3,0.6,0.1,0
0.95751,0.88968,0.011286,2.9497e-23,0.67584,0.0018836,9.8959e-05,19.017,1.6241,0,0,0,0,1,0.302,0.6,0.102,0
0.93788,0.90212,0.010129,5.16e-23,0.68432,0.0017837,9.7167e-05,18.342,1.6139,0,0,0,0,1,0.304,0.6,0.104,0
0.91823,0.91364,0.0089803,5.2998e-23,0.69214,0.0016792,9.5539e-05,17.562,1.6029,0,0,0,0,1,0.306,0.6,0.106,0
0.89859,0.92418,0.0078507,1.8708e-23,0.69923,0.0015794,9.4394e-05,16.72,1.5909,0,0,0,0,1,0.308,0.6,0.108,0
0.87895,0.93419,0.0067313,-3.4529e-23,0.70593,0.0014821,9.3505e-05,15.847,1.5784,0,0,0,0,1,0.31,0.6,0.11,0
0.8593,0.94267,0.0056568,-7.1434e-23,0.71149,0.0014,9.3673e-05,14.948,1.5644,0,0,0,0,1,0.312,0.6,0.112,0
0.83965,0.95067,0.0046026,-8.9535e-23,0.71669,0.0013238,9.4235e-05,14.059,1.5499,0,0,0,0,1,0.314,0.6,0.114,0
0.82001,0.95766,0.00359,-6.8343e-23,0.72114,0.0012595,9.5601e-05,13.191,1.5343,0,0,0,0,1,0.316,0.6,0.116,0
0.80036,0.96379,0.0026266,-3.6552e-23,0.72501,0.0012055,9.7687e-05,12.367,1.5178,0,0,0,0,1,0.318,0.6,0.118,0
0.78072,0.96948,0.0016889,7.7373e-25,0.72858,0.0011568,0.00010015,11.566,1.5008,0,0,0,0,1,0.32,0.6,0.12,0
0.76108,0.97407,0.00083548,-2.3207e-23,0.73161,0.0011197,0.0001035,10.85,1.4826,0,0,0,0,1,0.322,0.6,0.122,0
0.74144,0.97836,1.1176e-05,-4.0171e-23,0.73458,0.0010853,0.00010705,10.164,1.4641,0,0,0,0,1,0.324,0.6,0.124,0
0.72181,0.98203,-0.00075376,-4.0888e-23,0.73744,0.0010563,0.00011103,9.5391,1.4448,0,0,0,0,1,0.326,0.6,0.126,0
0.70218,0.98522,-0.0014617,-5.4057e-23,0.74013,0.0010306,0.00011522,8.9726,1.425,0,0,0,0,1,0.328,0.6,0.128,0
0.68255,0.98815,-0.0021398,-7.3792e-23,0.74275,0.0010068,0.00011953,8.4364,1.4049,0,0,0,0,1,0.33,0.6,0.13,0
0.66294,0.99049,-0.0027343,-7.41e-23,0.74493,0.00098633,0.00012392,7.9814,1.3842,0,0,0,0,1,0.332,0.6,0.132,0
0.64333,0.99268,-0.0033026,-5.3744e-23,0.747,0.00096661,0.00012827,7.5505,1.3633,0,0,0,0,1,0.334,0.6,0.134,0
0.62372,0.99454,-0.0038172,1.0226e-23,0.74881,0.00094847,0.00013255,7.1692,1.3419,0,0,0,0,1,0.336,0.6,0.136,0
0.60412,0.99614,-0.0042845,3.2534e-23,0.7504,0.00093153,0.00013666,6.8293,1.3203,0,0,0,0,1,0.338,0.6,0.138,0
0.58451,0.99762,-0.0047265,3.256e-23,0.75187,0.00091522,0.00014068,6.5115,1.2986,0,0,0,0,1,0.34,0.6,0.14,0
0.56492,0.99878,-0.0051044,3.0704e-23,0.75302,0.0009007,0.00014438,6.2473,1.2765,0,0,0,0,1,0.342,0.6,0.142,0
0.54533,0.99986,-0.0054631,2.9415e-23,0.75408,0.00088692,0.000148,5.9986,1.2542,0,0,0,0,1,0.344,0.6,0.144,0
0.52575,1.0008,-0.0057828,2.9441e-23,0.75498,0.00087468,0.00015145,5.7808,1.2318,0,0,0,0,1,0.346,0.6,0.146,0
0.50616,1.0015,-0.0060696,1.7891e-23,0.75577,0.00086474,0.00015492,5.5875,1.2093,0,0,0,0,1,0.348,0.6,0.148,0
0.48659,1.0022,-0.0063392,2.0001e-25,0.75649,0.00085601,0.00015839,5.4071,1.1866,0,0,0,0,1,0.35,0.6,0.15,0
0.46701,1.0027,-0.0065658,2.1422e-25,0.75703,0.00085335,0.00016251,5.2562,1.1637,0,0,0,0,1,0.352,0.6,0.152,0
0.44744,1.0032,-0.0067799,-3.8906e-24,0.75753,0.00085428,0.00016723,5.1131,1.1408,0,0,0,0,1,0.354,0.6,0.154,0
0.42787,1.0036,-0.0069686,-1.7094e-23,0.75792,0.00086261,0.00017319,4.9859,1.1178,0,0,0,0,1,0.356,0.6,0.156,0
0.40831,1.0038,-0.0071361,-2.9678e-23,0.75826,0.00088274,0.00018148,4.8715,1.0946,0,0,0,0,1,0.358,0.6,0.158,0
0.38875,1.0041,-0.0072924,-4.193e-23,0.75856,0.00090905,0.00019099,4.7639,1.0714,0,0,0,0,1,0.36,0.6,0.16,0
0.36919,1.0042,-0.0074211,-2.8982e-23,0.75874,0.00096081,0.0002059,4.6752,1.0481,0,0,0,0,1,0.362,0.6,0.162,0
0.34963,1.0042,-0.0075417,-1.6236e-23,0.75889,0.0010226,0.00022299,4.5934,1.0247,0,0,0,0,1,0.364,0.6,0.164,0
0.33008,1.0042,-0.0076462,-4.4088e-24,0.75895,0.0011049,0.00024453,4.5255,1.0012,0,0,0,0,1,0.366,0.6,0.166,0
0.31052,1.0041,-0.0077376,-2.8705e-25,0.75896,0.0012064,0.00027023,4.471,0.97763,0,0,0,0,1,0.368,0.6,0.168,0
0.29097,1.004,-0.0078221,-1.8483e-25,0.75893,0.0013178,0.0002981,4.4235,0.95404,0,0,0,0,1,0.37,0.6,0.17,0
0.27142,1.0039,-0.0078904,-7.1834e-24,0.75882,0.0014523,0.00033088,4.3933,0.93038,0,0,0,0,1,0.372,0.6,0.172,0
0.25187,1.0037,-0.0079542,-1e-23,0.75871,0.0015922,0.00036474,4.3674,0.9067,0,0,0,0,1,0.374,0.6,0.174,0
0.23232,1.0035,-0.008009,-4.015e-24,0.75859,0.0017426,0.00040072,4.3503,0.88299,0,0,0,0,1,0.376,0.6,0.176,0
0.21278,1.0032,-0.0080568,2.8447e-24,0.75848,0.0018991,0.00043775,4.3392,0.85927,0,0,0,0,1,0.378,0.6,0.178,0
0.19323,1.003,-0.008101,1.0145e-23,0.75837,0.0020586,0.00047531,4.3313,0.83553,0,0,0,0,1,0.38,0.6,0.18,0
0.17369,1.0027,-0.0081374,1.3826e-25,0.75821,0.002222,0.00051315,4.3301,0.81177,0,0,0,0,1,0.382,0.6,0.182,0
0.15415,1.0025,-0.0081703,-6.6648e-24,0.75803,0.0023854,0.00055077,4.3308,0.78801,0,0,0,0,1,0.384,0.6,0.184,0
0.13461,1.0022,-0.0081965,-6.7098e-24,0.75782,0.0025489,0.00058792,4.3351,0.76424,0,0,0,0,1,0.386,0.6,0.186,0
0.11506,1.002,-0.0082208,-4.0548e-24,0.75762,0.0027106,0.00062405,4.3428,0.74047,0,0,0,0,1,0.388,0.6,0.188,0
0.095519,1.0017,-0.0082441,-3.0898e-26,0.75742,0.0028713,0.00065967,4.3522,0.7167,0,0,0,0,1,0.39,0.6,0.19,0
0.075939,1.0014,-0.0083711,1.2128e-24,0.75726,0.0030272,0.00069306,4.3669,0.6929,0,0,0,0,1,0.392,0.6,0.192,0
0.056463,1.0012,-0.0084404,2.0389e-24,0.75711,0.0031843,0.00070735,4.3841,0.66922,0,0,0,0,1,0.394,0.6,0.194,0
0.037198,1.0009,-0.008393,2.0412e-24,0.75695,0.0033437,0.00068314,4.4063,0.64578,0,0,0,0,1,0.396,0.6,0.196,0
0.018466,1.0005,-0.0050284,1.2263e-24,0.75685,0.0035381,0.00053327,4.4227,0.62278,0,0,0,0,1,0.398,0.6,0.198,0
0,1,0,0,0.75676,0.00375,0.00032037,4.4362,0.6,0,0,0,0,1,0.4,0.6,0.2,0
